#Goals	Rel-weight
0	0.100000
1	0.089400
2	0.077100
3	0.076900
4	0.066100
5	0.054200
6	0.052700
7	0.049600
8	0.040700
9	0.038400
10	0.038000
11	0.032900
12	0.025400
13	0.027100
14	0.021700
15	0.023200
16	0.019000
17	0.016700
18	0.015200
19	0.014400
20	0.011800
21	0.009700
22	0.011200
23	0.008700
24	0.007900
25	0.007300
26	0.006600
27	0.005400
28	0.005500
29	0.004700
30	0.004200
31	0.004000
32	0.004200
33	0.003000
34	0.002300
35	0.002400
36	0.001900
37	0.002700
38	0.001500
39	0.001400
40	0.001300
41	0.001900
42	0.000900
43	0.000800
44	0.001200
45	0.001100
46	0.000600
47	0.000800
48	0.000800
49	0.000800
50	0.000500
51	0.000200
52	0.000100
53	0.000200
54	0.000500
55	0.000100
56	0.000200
57	0.000100
58	0.000200
59	0.000200
60	0.000000
61	0.000300
62	0.000200
63	0.000200
64	0.000100
65	0.000000
66	0.000200
67	0.000200
68	0.000300
69	0.000200
70	0.000000
71	0.000000
72	0.000100
73	0.000000
74	0.000000
75	0.000000
76	0.000100
77	0.000100
78	0.000000
79	0.000000
80	0.000200
81	0.000000
82	0.000100
83	0.000000
84	0.000000
85	0.000100
86	0.000000
87	0.000000
88	0.000000
89	0.000000
90	0.000000
91	0.000000
92	0.000000
93	0.000000
94	0.000000
95	0.000000
96	0.000000
97	0.000000
98	0.000000
99	0.000000
