#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 2.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	88691.039096	89.737899	1.000000	0.001012
0.200	61179.899857	61.831915	0.689809	0.000697
0.250	55635.137374	56.254713	0.627292	0.000634
0.300	50636.054358	51.169875	0.570926	0.000577
0.350	45863.753129	46.316800	0.517118	0.000522
0.400	41464.994351	41.797483	0.467522	0.000471
0.450	37416.889938	37.765425	0.421879	0.000426
0.500	33642.008570	34.002359	0.379317	0.000383
0.550	30085.678282	30.371245	0.339219	0.000342
0.600	26783.004248	27.004269	0.301981	0.000304
0.650	23709.876380	23.863804	0.267331	0.000269
0.700	20817.044264	20.961745	0.234714	0.000236
0.750	18185.045045	18.277281	0.205038	0.000206
0.800	15706.067785	15.776969	0.177087	0.000178
0.850	13502.698383	13.527076	0.152244	0.000153
0.900	11674.276246	11.670663	0.131629	0.000132
0.910	11356.722008	11.381732	0.128048	0.000128
0.920	11068.903750	11.076630	0.124803	0.000125
0.930	10809.925026	10.832803	0.121883	0.000122
0.940	10549.023738	10.555699	0.118941	0.000119
0.950	10318.020976	10.312979	0.116337	0.000116
0.960	10142.675698	10.130012	0.114360	0.000114
0.970	9996.649412	9.990482	0.112713	0.000113
0.980	9879.776810	9.889548	0.111395	0.000112
0.990	9841.876373	9.845106	0.110968	0.000111
