#System variables:
#Boundary type: 1
#System Length: 50.000000
#Detection Radius: 1.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	4798.097269	4.882637	1.000000	0.001018
0.050	4421.997194	4.484265	0.921615	0.000935
0.100	4076.555415	4.135886	0.849619	0.000862
0.150	3750.784614	3.801424	0.781723	0.000792
0.200	3467.503385	3.514235	0.722683	0.000732
0.250	3203.496768	3.237088	0.667660	0.000675
0.300	2954.566717	2.991337	0.615779	0.000623
0.350	2723.797677	2.749791	0.567683	0.000573
0.400	2523.544941	2.550029	0.525947	0.000531
0.450	2332.200807	2.355410	0.486068	0.000491
0.500	2150.852534	2.169019	0.448272	0.000452
0.550	1982.720184	1.996257	0.413231	0.000416
0.600	1831.852041	1.840023	0.381787	0.000383
0.650	1694.743566	1.702725	0.353212	0.000355
0.700	1567.884382	1.574399	0.326772	0.000328
0.750	1459.770280	1.462902	0.304239	0.000305
0.800	1365.063484	1.364901	0.284501	0.000284
0.850	1288.499129	1.289685	0.268544	0.000269
0.900	1232.901353	1.231647	0.256956	0.000257
0.910	1229.428374	1.227052	0.256232	0.000256
0.920	1221.702775	1.221708	0.254622	0.000255
0.930	1218.351238	1.218988	0.253924	0.000254
0.940	1213.820787	1.212679	0.252980	0.000253
0.950	1212.100269	1.211473	0.252621	0.000252
0.960	1211.866921	1.208929	0.252572	0.000252
0.970	1210.874254	1.208542	0.252366	0.000252
0.980	1213.454170	1.209897	0.252903	0.000252
0.990	1218.825177	1.217597	0.254023	0.000254
