#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 2.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	88707.872640	89.774203	1.000000	0.001012
0.050	80324.160872	81.236757	0.905491	0.000916
0.100	73232.435487	74.165509	0.825546	0.000836
0.150	66688.441076	67.370235	0.751776	0.000759
0.200	60741.273187	61.494374	0.684734	0.000693
0.250	55177.808962	55.778506	0.622017	0.000629
0.300	50035.724199	50.641348	0.564051	0.000571
0.350	45396.719865	45.923154	0.511755	0.000518
0.400	41037.180467	41.527211	0.462610	0.000468
0.450	36959.561647	37.342145	0.416644	0.000421
0.500	33296.335529	33.658048	0.375348	0.000379
0.550	29681.220342	29.914859	0.334595	0.000337
0.600	26415.304384	26.596451	0.297779	0.000300
0.650	23377.696170	23.556515	0.263536	0.000266
0.700	20517.574887	20.641270	0.231294	0.000233
0.750	17899.754426	18.005129	0.201783	0.000203
0.800	15490.142686	15.557100	0.174620	0.000175
0.850	13336.657054	13.337195	0.150344	0.000150
0.900	11556.473482	11.597845	0.130276	0.000131
0.910	11290.339984	11.327056	0.127276	0.000128
0.920	10981.121827	10.987329	0.123790	0.000124
0.930	10747.477443	10.775925	0.121156	0.000121
0.940	10497.331961	10.508452	0.118336	0.000118
0.950	10280.083882	10.283243	0.115887	0.000116
0.960	10123.603509	10.125062	0.114123	0.000114
0.970	9971.413136	9.952164	0.112407	0.000112
0.980	9873.533248	9.884474	0.111304	0.000111
0.990	9823.629122	9.826643	0.110741	0.000111
