#System variables:
#Boundary type: 1
#System Length: 50.000000
#Detection Radius: 1.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	4797.984653	4.868903	1.000000	0.001015
0.050	4289.412148	4.355003	0.894003	0.000908
0.100	3949.773715	4.007902	0.823215	0.000835
0.150	3635.899586	3.688825	0.757797	0.000769
0.200	3352.709887	3.399029	0.698775	0.000708
0.250	3089.600438	3.133162	0.643937	0.000653
0.300	2843.494206	2.875797	0.592643	0.000599
0.350	2621.985875	2.652762	0.546477	0.000553
0.400	2414.837317	2.438653	0.503302	0.000508
0.450	2232.133950	2.250161	0.465223	0.000469
0.500	2068.721224	2.085567	0.431165	0.000435
0.550	1898.156784	1.915127	0.395615	0.000399
0.600	1752.721395	1.759764	0.365304	0.000367
0.650	1629.680081	1.638211	0.339659	0.000341
0.700	1516.791782	1.520759	0.316131	0.000317
0.750	1420.986578	1.424647	0.296163	0.000297
0.800	1340.647645	1.339666	0.279419	0.000279
0.850	1276.275856	1.276723	0.266002	0.000266
0.900	1232.386406	1.229534	0.256855	0.000256
0.910	1221.787268	1.221147	0.254646	0.000255
0.920	1219.940155	1.220121	0.254261	0.000254
0.930	1215.776008	1.213476	0.253393	0.000253
0.940	1210.771104	1.208046	0.252350	0.000252
0.950	1210.403899	1.210586	0.252273	0.000252
0.960	1210.329553	1.209687	0.252258	0.000252
0.970	1210.908711	1.212308	0.252379	0.000253
0.980	1213.443427	1.213933	0.252907	0.000253
0.990	1217.490343	1.216454	0.253750	0.000254
