#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 1.000000
#Ensembles: 100000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	111691.462220	356.907703	1.000000	0.003195
0.050	102797.526880	327.541081	0.920370	0.002933
0.100	93630.780840	298.248220	0.838298	0.002670
0.150	85589.303580	272.787241	0.766301	0.002442
0.200	79134.870260	251.139901	0.708513	0.002249
0.250	72262.746810	230.791870	0.646985	0.002066
0.300	66138.915480	209.901848	0.592157	0.001879
0.350	60395.716400	192.388784	0.540737	0.001723
0.400	55306.917630	176.734914	0.495176	0.001582
0.450	50298.299380	159.651264	0.450333	0.001429
0.500	46099.342200	146.261571	0.412738	0.001310
0.550	42106.077650	133.647922	0.376986	0.001197
0.600	38039.320230	120.561347	0.340575	0.001079
0.650	34533.518160	108.858887	0.309187	0.000975
0.700	31284.373670	99.327361	0.280096	0.000889
0.750	28450.595400	89.680686	0.254725	0.000803
0.800	25743.758040	81.641337	0.230490	0.000731
0.850	23538.367970	74.424775	0.210745	0.000666
0.900	21726.208360	68.553683	0.194520	0.000614
0.910	21189.011900	66.514859	0.189710	0.000596
0.920	21004.982590	66.575118	0.188063	0.000596
0.930	20841.040490	65.910280	0.186595	0.000590
0.940	20442.710060	64.444473	0.183028	0.000577
0.950	20336.365090	64.265807	0.182076	0.000575
0.960	20085.438020	63.396698	0.179830	0.000568
0.970	20045.268560	63.020055	0.179470	0.000564
0.980	19850.461900	62.849313	0.177726	0.000563
0.990	19824.077360	62.902826	0.177490	0.000563
