#Persistency p = 0.700000
#Number of sampled random angles: 10000000
#Angle	Relative weight
-3.142	0.000078
-3.016	0.000136
-2.890	0.000215
-2.765	0.000359
-2.639	0.000584
-2.513	0.000903
-2.388	0.001361
-2.262	0.002025
-2.136	0.002958
-2.011	0.004176
-1.885	0.005814
-1.759	0.007979
-1.634	0.010527
-1.508	0.013713
-1.382	0.017594
-1.257	0.021941
-1.131	0.026648
-1.005	0.031749
-0.880	0.037209
-0.754	0.042489
-0.628	0.047333
-0.503	0.051727
-0.377	0.055317
-0.251	0.057712
-0.126	0.059094
0.000	0.059172
0.126	0.057828
0.251	0.055383
0.377	0.051908
0.503	0.047361
0.628	0.042500
0.754	0.037268
0.880	0.031843
1.005	0.026660
1.131	0.021937
1.257	0.017617
1.382	0.013768
1.508	0.010593
1.634	0.007916
1.759	0.005776
1.885	0.004213
2.011	0.002937
2.136	0.002041
2.262	0.001374
2.388	0.000887
2.513	0.000573
2.639	0.000362
2.765	0.000229
2.890	0.000136
3.016	0.000075
3.142	0.000000
