#Persistency p = 0.000000
#Number of sampled random angles: 10000000
#Angle	Relative weight
-3.142	0.019886
-3.016	0.020019
-2.890	0.020051
-2.765	0.019959
-2.639	0.019966
-2.513	0.019976
-2.388	0.019972
-2.262	0.019985
-2.136	0.020097
-2.011	0.020004
-1.885	0.019921
-1.759	0.020042
-1.634	0.020022
-1.508	0.020013
-1.382	0.019977
-1.257	0.019941
-1.131	0.020013
-1.005	0.019984
-0.880	0.020013
-0.754	0.019990
-0.628	0.020026
-0.503	0.019936
-0.377	0.020021
-0.251	0.020061
-0.126	0.019985
0.000	0.019983
0.126	0.020041
0.251	0.019898
0.377	0.019921
0.503	0.020031
0.628	0.019997
0.754	0.020006
0.880	0.020039
1.005	0.019975
1.131	0.020012
1.257	0.019972
1.382	0.020023
1.508	0.020004
1.634	0.020011
1.759	0.020048
1.885	0.019966
2.011	0.020013
2.136	0.020084
2.262	0.020028
2.388	0.019970
2.513	0.020019
2.639	0.020001
2.765	0.020048
2.890	0.020063
3.016	0.019988
3.142	0.000000
