#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 4
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	137819.388677	140.587641	1.961181	0.002001
0.050	119164.501669	121.371253	1.695720	0.001727
0.100	104069.564352	106.068699	1.480918	0.001509
0.150	91166.908689	93.038758	1.297312	0.001324
0.200	79977.676368	81.550143	1.138089	0.001160
0.250	70273.679064	71.639671	1.000000	0.001019
0.300	62026.725893	63.161130	0.882645	0.000899
0.350	54530.793152	55.595064	0.775977	0.000791
0.400	47895.334679	48.751675	0.681554	0.000694
0.450	41971.754531	42.682206	0.597261	0.000607
0.500	36669.088602	37.287785	0.521804	0.000531
0.550	31832.467562	32.385333	0.452979	0.000461
0.600	27481.404471	27.948777	0.391063	0.000398
0.650	23530.965102	23.899920	0.334847	0.000340
0.700	19860.194440	20.136987	0.282612	0.000287
0.750	16580.656929	16.820208	0.235944	0.000239
0.800	13555.804311	13.698990	0.192900	0.000195
0.810	12985.246238	13.146334	0.184781	0.000187
0.820	12418.956858	12.543663	0.176723	0.000178
0.830	11876.674763	12.017671	0.169006	0.000171
0.840	11317.165300	11.420779	0.161044	0.000163
0.850	10808.338990	10.914508	0.153804	0.000155
0.860	10298.509876	10.383372	0.146549	0.000148
0.870	9812.723379	9.894407	0.139636	0.000141
0.880	9326.637952	9.396849	0.132719	0.000134
0.890	8843.316854	8.900147	0.125841	0.000127
0.900	8394.147796	8.446451	0.119449	0.000120
0.910	7953.877285	8.015930	0.113184	0.000114
0.920	7536.898367	7.574329	0.107251	0.000108
0.930	7115.422218	7.146097	0.101253	0.000102
0.940	6719.134645	6.750549	0.095614	0.000096
0.950	6366.464542	6.382763	0.090595	0.000091
0.960	6030.504227	6.051729	0.085815	0.000086
0.970	5747.528570	5.762570	0.081788	0.000082
0.980	5638.596989	5.659414	0.080238	0.000081
0.990	6397.332393	6.455964	0.091035	0.000092
0.991	6649.914316	6.716685	0.094629	0.000096
0.992	7007.227927	7.103818	0.099713	0.000101
0.993	7475.948761	7.593996	0.106383	0.000108
0.994	8121.442213	8.282640	0.115569	0.000118
0.995	9096.182103	9.297474	0.129439	0.000132
0.996	10561.010939	10.831363	0.150284	0.000154
0.997	13134.060347	13.524413	0.186899	0.000192
0.998	18381.994774	18.983027	0.261577	0.000270
0.999	34191.336439	35.502800	0.486545	0.000505
