#System variables:
#Boundary type: 1
#System Length: 500
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	1515167.587247	1526.876783	1.923776	0.001939
0.050	1316725.368340	1323.439606	1.671818	0.001680
0.100	1152752.169584	1158.510835	1.463625	0.001471
0.150	1013563.316324	1019.719702	1.286900	0.001295
0.200	893996.063901	900.187578	1.135088	0.001143
0.250	787600.943456	792.746016	1.000000	0.001007
0.300	697054.490156	700.765393	0.885035	0.000890
0.350	617101.738277	620.173618	0.783521	0.000787
0.400	545272.523834	549.626639	0.692321	0.000698
0.450	483383.780370	485.444446	0.613742	0.000616
0.500	426012.802812	427.954677	0.540899	0.000543
0.550	374497.786199	376.107287	0.475492	0.000478
0.600	328275.619274	329.086236	0.416805	0.000418
0.650	286701.957646	287.341528	0.364019	0.000365
0.700	249037.350994	249.816205	0.316197	0.000317
0.750	214697.144285	215.589535	0.272596	0.000274
0.800	183661.403161	183.848377	0.233191	0.000233
0.850	156145.774159	156.220418	0.198255	0.000198
0.900	132342.507165	132.478360	0.168032	0.000168
0.950	112454.315688	112.394375	0.142781	0.000143
0.960	109077.489012	109.190369	0.138493	0.000139
0.970	106025.898019	106.031514	0.134619	0.000135
0.980	103171.373723	103.065874	0.130994	0.000131
0.990	102164.546748	102.183342	0.129716	0.000130
