#System variables:
#Boundary type: 2	Alpha = 1.000000
#System Length: 20
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	1275.010732	1.550982	1.843303	0.002242
0.050	1120.153798	1.357197	1.619424	0.001962
0.100	984.614783	1.193919	1.423473	0.001726
0.150	871.365377	1.053214	1.259746	0.001523
0.200	774.613490	0.931177	1.119871	0.001346
0.250	691.698995	0.831171	1.000000	0.001202
0.300	617.723292	0.737801	0.893052	0.001067
0.350	554.280007	0.660834	0.801331	0.000955
0.400	497.402650	0.589226	0.719103	0.000852
0.450	446.892704	0.527002	0.646080	0.000762
0.500	401.994625	0.470752	0.581170	0.000681
0.550	361.290742	0.420534	0.522324	0.000608
0.600	325.474544	0.377181	0.470544	0.000545
0.650	294.393104	0.337450	0.425609	0.000488
0.700	265.803790	0.301778	0.384277	0.000436
0.750	243.314664	0.273243	0.351764	0.000395
0.800	224.627198	0.248246	0.324747	0.000359
0.850	213.468620	0.233934	0.308615	0.000338
0.900	216.502009	0.234558	0.313000	0.000339
0.950	276.183122	0.301199	0.399282	0.000435
