#System variables:
#Boundary type: 2	Alpha = 0.800000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	278748.201944	307.730999	1.930444	0.002131
0.050	241894.423199	266.778410	1.675217	0.001848
0.100	211044.620286	231.962002	1.461570	0.001606
0.150	185131.037459	203.662481	1.282108	0.001410
0.200	163530.680645	179.982824	1.132516	0.001246
0.250	144395.872334	158.454425	1.000000	0.001097
0.300	127528.338607	139.802212	0.883185	0.000968
0.350	112549.733164	123.303261	0.779453	0.000854
0.400	99501.274212	108.879842	0.689087	0.000754
0.450	87753.204603	95.944542	0.607727	0.000664
0.500	77239.612818	83.950831	0.534916	0.000581
0.550	67869.465259	73.644208	0.470024	0.000510
0.600	59169.898221	63.829868	0.409776	0.000442
0.650	51523.453126	55.647142	0.356821	0.000385
0.700	44452.028780	47.555594	0.307848	0.000329
0.750	38126.686989	40.588117	0.264043	0.000281
0.800	32376.242561	34.255279	0.224219	0.000237
0.850	27334.772838	28.590300	0.189304	0.000198
0.900	22888.204823	23.694119	0.158510	0.000164
0.950	19641.999109	20.138798	0.136029	0.000139
