#Linear search strategy:
#p(d) = p_max - (p_max - p_min) * d * sqrt2 / L
#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p_min	p_max	<fpt>	<delta>
0.000	0.000	195739.595188	197.777295
0.000	0.050	173240.914278	174.876361
0.000	0.100	154121.759773	155.579205
0.000	0.150	137697.678999	139.262530
0.000	0.200	123186.028334	124.734841
0.000	0.250	110645.519406	111.767460
0.000	0.300	99598.171832	100.872823
0.000	0.350	89817.607853	91.036976
0.000	0.400	80934.270255	82.055680
0.000	0.450	72929.157111	73.850900
0.000	0.500	65848.898293	66.840610
0.000	0.550	59419.035841	60.384156
0.000	0.600	53498.430455	54.274143
0.000	0.650	48111.318349	48.910901
0.000	0.700	43278.387635	43.960106
0.000	0.750	38836.041182	39.471006
0.000	0.800	34892.986905	35.499580
0.000	0.850	31307.398933	31.879181
0.000	0.900	28087.043508	28.608746
0.000	0.950	25332.307484	25.769525
0.000	1.000	23030.434274	23.449643

0.050	0.000	192855.705863	194.679474
0.050	0.050	170475.439549	172.303753
0.050	0.100	151679.614441	153.041939
0.050	0.150	135414.631581	137.047221
0.050	0.200	121156.552003	122.723947
0.050	0.250	108939.335858	110.095090
0.050	0.300	98078.569512	99.215831
0.050	0.350	88228.331096	89.146357
0.050	0.400	79690.887859	80.621017
0.050	0.450	71821.591011	72.755756
0.050	0.500	64724.574722	65.672365
0.050	0.550	58373.026140	59.151596
0.050	0.600	52532.956996	53.250387
0.050	0.650	47265.632937	47.848283
0.050	0.700	42522.304137	43.169981
0.050	0.750	38056.298623	38.683928
0.050	0.800	34108.675740	34.649895
0.050	0.850	30662.249474	31.166831
0.050	0.900	27475.847794	27.908138
0.050	0.950	24785.129690	25.199685
0.050	1.000	22557.441075	22.909376

0.100	0.000	189726.669976	191.322196
0.100	0.050	167761.237754	169.320401
0.100	0.100	149215.103676	150.772034
0.100	0.150	133530.165740	134.842997
0.100	0.200	119514.947648	120.919168
0.100	0.250	107434.245161	108.688677
0.100	0.300	96558.514723	97.485862
0.100	0.350	86969.294428	87.938904
0.100	0.400	78333.995736	79.266052
0.100	0.450	70566.888821	71.430273
0.100	0.500	63670.789061	64.460988
0.100	0.550	57612.146658	58.274539
0.100	0.600	51688.772886	52.309709
0.100	0.650	46529.849929	47.109566
0.100	0.700	41699.856424	42.274609
0.100	0.750	37407.996030	37.973187
0.100	0.800	33492.164944	34.010600
0.100	0.850	30028.801663	30.483868
0.100	0.900	26920.165926	27.320282
0.100	0.950	24235.836585	24.622352
0.100	1.000	22033.099449	22.341043

0.150	0.000	187060.016196	188.712385
0.150	0.050	165295.008973	166.767326
0.150	0.100	147063.142856	148.667376
0.150	0.150	131479.254286	132.899347
0.150	0.200	117881.182425	119.131973
0.150	0.250	105818.899055	106.922789
0.150	0.300	95013.731837	96.012090
0.150	0.350	85578.447616	86.621728
0.150	0.400	77270.939120	78.101465
0.150	0.450	69713.745115	70.484849
0.150	0.500	62677.708089	63.408381
0.150	0.550	56472.855695	57.102155
0.150	0.600	50749.821724	51.468273
0.150	0.650	45670.833881	46.242498
0.150	0.700	40951.437618	41.495142
0.150	0.750	36711.459488	37.154861
0.150	0.800	32844.494962	33.322470
0.150	0.850	29415.119350	29.828747
0.150	0.900	26361.978401	26.753407
0.150	0.950	23733.973841	24.068446
0.150	1.000	21550.443064	21.804255

0.200	0.000	183973.523829	185.513687
0.200	0.050	163036.896250	164.461047
0.200	0.100	145183.650392	146.113917
0.200	0.150	129399.327501	130.705428
0.200	0.200	115956.418488	117.016514
0.200	0.250	104215.849645	105.482751
0.200	0.300	93636.730766	94.443503
0.200	0.350	84437.253373	85.371441
0.200	0.400	75907.932158	76.657962
0.200	0.450	68430.498908	69.180706
0.200	0.500	61642.637442	62.237006
0.200	0.550	55607.761477	56.309689
0.200	0.600	49955.132672	50.547774
0.200	0.650	44909.513949	45.459016
0.200	0.700	40207.215218	40.671347
0.200	0.750	36107.940467	36.558502
0.200	0.800	32282.696982	32.658023
0.200	0.850	28839.880226	29.212058
0.200	0.900	25780.362701	26.148254
0.200	0.950	23191.101970	23.472261
0.200	1.000	21078.015989	21.308166

0.250	0.000	181717.569941	183.325688
0.250	0.050	160648.315746	161.949606
0.250	0.100	142900.833301	144.320212
0.250	0.150	127717.195284	128.834882
0.250	0.200	114531.935560	115.616576
0.250	0.250	102611.216939	103.538546
0.250	0.300	92353.143731	93.158800
0.250	0.350	83166.576075	83.874066
0.250	0.400	74855.163915	75.612684
0.250	0.450	67574.366235	68.388022
0.250	0.500	60780.272080	61.441111
0.250	0.550	54679.878606	55.176870
0.250	0.600	49128.207030	49.646509
0.250	0.650	44176.764373	44.629966
0.250	0.700	39510.399922	40.025790
0.250	0.750	35391.912152	35.836601
0.250	0.800	31601.776033	31.996464
0.250	0.850	28243.937401	28.520417
0.250	0.900	25265.224248	25.544946
0.250	0.950	22704.738362	22.984066
0.250	1.000	20644.832059	20.871388

0.300	0.000	179048.899703	180.683422
0.300	0.050	158468.926408	159.616113
0.300	0.100	140839.783160	141.995378
0.300	0.150	125952.902782	127.168003
0.300	0.200	112720.720110	113.848733
0.300	0.250	101340.514185	102.294768
0.300	0.300	90990.708190	91.904856
0.300	0.350	81934.548912	82.732546
0.300	0.400	73805.957735	74.467496
0.300	0.450	66616.559163	67.261791
0.300	0.500	59801.313279	60.401876
0.300	0.550	53813.860266	54.310313
0.300	0.600	48351.848595	48.828940
0.300	0.650	43404.826474	43.943594
0.300	0.700	38866.915344	39.299838
0.300	0.750	34648.988954	34.983561
0.300	0.800	31045.474236	31.320444
0.300	0.850	27645.277274	27.969500
0.300	0.900	24751.874933	25.026498
0.300	0.950	22225.808682	22.439971
0.300	1.000	20201.367908	20.372262

0.350	0.000	176616.184048	177.726114
0.350	0.050	156382.307645	157.672666
0.350	0.100	139050.910556	140.169164
0.350	0.150	124156.367150	125.136863
0.350	0.200	111299.308702	112.197480
0.350	0.250	99861.556483	100.606507
0.350	0.300	89955.122435	90.675459
0.350	0.350	80952.508669	81.429821
0.350	0.400	72835.646299	73.485795
0.350	0.450	65569.679612	66.170011
0.350	0.500	58947.770320	59.551795
0.350	0.550	53049.236246	53.630198
0.350	0.600	47560.082366	47.941922
0.350	0.650	42720.294258	43.041984
0.350	0.700	38205.181136	38.511533
0.350	0.750	34039.715813	34.353556
0.350	0.800	30437.637449	30.775288
0.350	0.850	27120.513530	27.398969
0.350	0.900	24243.816011	24.487813
0.350	0.950	21737.806414	21.928896
0.350	1.000	19766.018397	19.920749

0.400	0.000	174223.326101	175.435933
0.400	0.050	154147.928937	154.986605
0.400	0.100	137206.307784	138.401408
0.400	0.150	122599.144768	123.479302
0.400	0.200	109850.273434	110.789049
0.400	0.250	98660.319021	99.565893
0.400	0.300	88606.378189	89.397935
0.400	0.350	79898.700913	80.339387
0.400	0.400	71775.571808	72.435486
0.400	0.450	64662.820071	65.209686
0.400	0.500	58116.148904	58.527682
0.400	0.550	52222.644417	52.686449
0.400	0.600	46735.086411	47.125185
0.400	0.650	41933.808401	42.259970
0.400	0.700	37573.769429	37.976212
0.400	0.750	33456.695688	33.755781
0.400	0.800	29791.116556	30.043850
0.400	0.850	26609.457750	26.816586
0.400	0.900	23743.611811	23.944196
0.400	0.950	21319.541544	21.495754
0.400	1.000	19366.471022	19.520554

0.450	0.000	172282.014444	173.417138
0.450	0.050	152517.483045	153.355181
0.450	0.100	135539.193799	136.597715
0.450	0.150	121042.449561	121.839965
0.450	0.200	108473.875581	109.304173
0.450	0.250	97275.759787	97.850196
0.450	0.300	87556.841591	88.184439
0.450	0.350	78728.977196	79.328441
0.450	0.400	70857.231361	71.352809
0.450	0.450	63726.759638	64.377996
0.450	0.500	57196.948291	57.559109
0.450	0.550	51442.251841	51.831058
0.450	0.600	46126.984965	46.546974
0.450	0.650	41275.561459	41.600160
0.450	0.700	36896.578620	37.217517
0.450	0.750	32900.568811	33.167938
0.450	0.800	29306.073313	29.527830
0.450	0.850	26085.447268	26.275420
0.450	0.900	23259.064812	23.455670
0.450	0.950	20874.471676	21.029546
0.450	1.000	18970.829309	19.107965

0.500	0.000	169869.185460	170.954826
0.500	0.050	150417.530082	151.397601
0.500	0.100	133987.820730	134.757319
0.500	0.150	119504.701121	120.276072
0.500	0.200	107156.827027	107.902031
0.500	0.250	96345.899482	97.208709
0.500	0.300	86357.849560	86.933595
0.500	0.350	77667.334241	78.300931
0.500	0.400	69817.704896	70.280508
0.500	0.450	62875.753910	63.384117
0.500	0.500	56362.821790	56.782703
0.500	0.550	50675.029716	51.057911
0.500	0.600	45380.802254	45.769213
0.500	0.650	40633.456604	40.976311
0.500	0.700	36271.749321	36.486229
0.500	0.750	32321.124334	32.603205
0.500	0.800	28765.911061	28.991175
0.500	0.850	25579.544026	25.761800
0.500	0.900	22794.349842	22.921195
0.500	0.950	20477.213874	20.597752
0.500	1.000	18634.240412	18.727772

0.550	0.000	167605.852517	168.584077
0.550	0.050	148534.450102	149.373250
0.550	0.100	132048.192989	133.028909
0.550	0.150	118172.173574	118.859511
0.550	0.200	106070.034668	106.788686
0.550	0.250	95009.139153	95.528390
0.550	0.300	85381.993754	86.016600
0.550	0.350	76648.262261	77.125466
0.550	0.400	69040.473540	69.543196
0.550	0.450	62010.848360	62.436075
0.550	0.500	55685.149182	56.071854
0.550	0.550	49896.986524	50.250944
0.550	0.600	44705.035425	45.092031
0.550	0.650	40009.395569	40.235104
0.550	0.700	35620.961994	35.864044
0.550	0.750	31773.093305	31.976346
0.550	0.800	28262.145185	28.466623
0.550	0.850	25092.362567	25.292481
0.550	0.900	22324.378384	22.422591
0.550	0.950	20038.281177	20.157725
0.550	1.000	18247.710453	18.298487

0.600	0.000	165826.361073	166.806019
0.600	0.050	146798.331602	147.672653
0.600	0.100	130762.723593	131.616374
0.600	0.150	116696.583175	117.199382
0.600	0.200	104464.261840	105.153439
0.600	0.250	93704.115130	94.231576
0.600	0.300	84286.733575	84.841532
0.600	0.350	75651.352042	76.188784
0.600	0.400	68050.454756	68.407719
0.600	0.450	61120.434728	61.573643
0.600	0.500	54922.719409	55.188108
0.600	0.550	49210.601433	49.540712
0.600	0.600	44010.594850	44.272188
0.600	0.650	39334.739987	39.589877
0.600	0.700	35166.759715	35.363431
0.600	0.750	31195.992253	31.412468
0.600	0.800	27713.841070	27.835514
0.600	0.850	24629.105452	24.757048
0.600	0.900	21918.536577	22.003721
0.600	0.950	19637.200950	19.718921
0.600	1.000	17900.796715	17.942206

0.650	0.000	164060.950013	164.939311
0.650	0.050	144994.922090	145.984020
0.650	0.100	128969.963174	129.705269
0.650	0.150	115302.628554	116.011808
0.650	0.200	103210.516774	103.788831
0.650	0.250	92531.123064	93.176714
0.650	0.300	83151.146178	83.688368
0.650	0.350	74719.141249	75.133116
0.650	0.400	67076.231337	67.517412
0.650	0.450	60287.326400	60.622760
0.650	0.500	54089.219398	54.412127
0.650	0.550	48429.581761	48.802644
0.650	0.600	43453.456498	43.689433
0.650	0.650	38770.456592	38.992193
0.650	0.700	34466.792479	34.647075
0.650	0.750	30744.876300	30.954303
0.650	0.800	27256.290414	27.431806
0.650	0.850	24193.818568	24.321765
0.650	0.900	21505.703755	21.601970
0.650	0.950	19231.807091	19.275703
0.650	1.000	17574.686178	17.626911

0.700	0.000	161630.152986	162.379408
0.700	0.050	143154.251306	143.909492
0.700	0.100	127604.019532	128.258437
0.700	0.150	113798.976156	114.472861
0.700	0.200	102166.052772	102.821350
0.700	0.250	91435.615897	91.887288
0.700	0.300	82150.248619	82.582273
0.700	0.350	73584.112576	74.097709
0.700	0.400	66345.858589	66.652331
0.700	0.450	59573.964717	59.927135
0.700	0.500	53307.972739	53.646188
0.700	0.550	47784.225435	48.100195
0.700	0.600	42755.148672	43.019792
0.700	0.650	38157.954067	38.421797
0.700	0.700	33950.154090	34.046613
0.700	0.750	30205.804124	30.408295
0.700	0.800	26775.082139	26.899294
0.700	0.850	23771.292317	23.839571
0.700	0.900	21063.812752	21.133441
0.700	0.950	18866.208343	18.924234
0.700	1.000	17247.589572	17.265183

0.750	0.000	159641.778920	160.457569
0.750	0.050	141260.493117	141.770624
0.750	0.100	125936.529644	126.570709
0.750	0.150	112769.913257	113.426332
0.750	0.200	100916.251290	101.459702
0.750	0.250	90482.485759	90.980625
0.750	0.300	81091.110349	81.553702
0.750	0.350	72878.494774	73.203091
0.750	0.400	65401.623634	65.785582
0.750	0.450	58828.931581	59.132293
0.750	0.500	52732.053276	53.100575
0.750	0.550	47170.451369	47.445212
0.750	0.600	42117.165431	42.308870
0.750	0.650	37513.732158	37.714411
0.750	0.700	33448.032187	33.613763
0.750	0.750	29706.485936	29.858391
0.750	0.800	26306.280600	26.394432
0.750	0.850	23277.158790	23.355404
0.750	0.900	20660.033585	20.732823
0.750	0.950	18517.366257	18.573615
0.750	1.000	16953.964229	16.981714

0.800	0.000	158012.809695	158.908585
0.800	0.050	140333.898202	141.094364
0.800	0.100	124466.192420	124.967930
0.800	0.150	111515.707726	112.020328
0.800	0.200	99571.537993	100.135130
0.800	0.250	89346.551449	90.032121
0.800	0.300	80256.719000	80.750159
0.800	0.350	71795.962813	72.133623
0.800	0.400	64650.163541	64.963518
0.800	0.450	57920.705313	58.122545
0.800	0.500	51973.600584	52.324051
0.800	0.550	46464.116465	46.774440
0.800	0.600	41576.754055	41.696752
0.800	0.650	37049.455616	37.233550
0.800	0.700	32898.465609	33.059491
0.800	0.750	29184.183196	29.347411
0.800	0.800	25807.499524	25.883362
0.800	0.850	22876.846074	22.957696
0.800	0.900	20236.606169	20.262316
0.800	0.950	18143.123427	18.152638
0.800	1.000	16667.612267	16.698497

0.850	0.000	156229.500971	156.905768
0.850	0.050	138468.600574	139.232351
0.850	0.100	123478.710560	123.996157
0.850	0.150	110138.334273	110.705389
0.850	0.200	98577.636614	99.110298
0.850	0.250	88300.726472	88.879520
0.850	0.300	79217.332793	79.745210
0.850	0.350	70969.280367	71.323384
0.850	0.400	63845.285801	64.096737
0.850	0.450	57301.032211	57.647249
0.850	0.500	51275.938951	51.549271
0.850	0.550	45864.599162	46.045160
0.850	0.600	40960.264205	41.161228
0.850	0.650	36447.737276	36.514618
0.850	0.700	32323.574064	32.498642
0.850	0.750	28666.856114	28.754229
0.850	0.800	25393.076282	25.496291
0.850	0.850	22407.745593	22.470080
0.850	0.900	19833.459423	19.871018
0.850	0.950	17824.225791	17.866290
0.850	1.000	16396.233388	16.407260

0.900	0.000	154890.407126	155.896317
0.900	0.050	136974.243452	137.802471
0.900	0.100	121793.557141	122.226734
0.900	0.150	108911.177488	109.363541
0.900	0.200	97203.797589	97.660047
0.900	0.250	87291.163129	87.766148
0.900	0.300	78352.999447	78.734087
0.900	0.350	70315.550737	70.722417
0.900	0.400	63031.714420	63.378393
0.900	0.450	56490.609664	56.753970
0.900	0.500	50615.801783	50.852515
0.900	0.550	45322.942702	45.495602
0.900	0.600	40304.160985	40.532747
0.900	0.650	35902.711567	35.979749
0.900	0.700	31871.934961	31.950653
0.900	0.750	28188.576074	28.305001
0.900	0.800	24953.284539	25.013829
0.900	0.850	22002.038829	22.081348
0.900	0.900	19512.516294	19.526569
0.900	0.950	17468.689393	17.471440
0.900	1.000	16221.845195	16.257389

0.950	0.000	152990.953212	153.711819
0.950	0.050	135474.363551	136.144117
0.950	0.100	120678.776655	121.179247
0.950	0.150	107558.042972	107.841326
0.950	0.200	96222.886893	96.579999
0.950	0.250	86202.436328	86.563741
0.950	0.300	77287.362753	77.572956
0.950	0.350	69294.217749	69.649705
0.950	0.400	62266.799322	62.476320
0.950	0.450	55747.665457	56.059143
0.950	0.500	49933.687652	50.129888
0.950	0.550	44592.237841	44.751678
0.950	0.600	39769.236175	39.902127
0.950	0.650	35380.412334	35.461415
0.950	0.700	31301.471119	31.404878
0.950	0.750	27748.613187	27.843606
0.950	0.800	24522.291074	24.544131
0.950	0.850	21640.434104	21.675375
0.950	0.900	19167.573208	19.182789
0.950	0.950	17157.623888	17.196733
0.950	1.000	16664.920058	16.693920

1.000	0.000	151122.549240	151.692106
1.000	0.050	134079.549504	134.631516
1.000	0.100	119261.384712	119.758819
1.000	0.150	106538.226456	107.057881
1.000	0.200	95159.133568	95.632691
1.000	0.250	85347.724131	85.794561
1.000	0.300	76563.333852	76.984136
1.000	0.350	68616.533193	68.879399
1.000	0.400	61549.627199	61.900944
1.000	0.450	55126.839810	55.274147
1.000	0.500	49348.792937	49.476036
1.000	0.550	43967.829860	44.154236
1.000	0.600	39269.445730	39.449096
1.000	0.650	34824.210254	34.930187
1.000	0.700	30866.983430	31.007382
1.000	0.750	27287.081693	27.275539
1.000	0.800	24096.953185	24.163087
1.000	0.850	21235.571353	21.276227
1.000	0.900	18812.116466	18.827014
1.000	0.950	16984.898095	17.021817
1.000	1.000	NaN	NaN
