#Parabolic search strategy:
#p(d) = p_max - (p_max - p_min) * (d - 200 / 2sqrt2)^2 * (2sqrt2 / 200)^2
#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p_min	p_max	<fpt>	<delta>
0.000	0.000	196108.418082	198.005323
0.000	0.050	186912.574010	188.545661
0.000	0.100	178685.041820	180.352244
0.000	0.150	171594.409377	172.931445
0.000	0.200	164771.358064	165.849115
0.000	0.250	158703.263453	159.736442
0.000	0.300	152675.356692	153.546720
0.000	0.350	147448.680317	148.056547
0.000	0.400	142541.748442	143.178729
0.000	0.450	138110.397021	138.535213
0.000	0.500	133529.838896	133.881606
0.000	0.550	129672.084795	130.023154
0.000	0.600	125829.950132	126.121469
0.000	0.650	122195.480589	122.442815
0.000	0.700	118471.026637	118.735697
0.000	0.750	115229.759070	115.413650
0.000	0.800	111956.622225	112.139889
0.000	0.850	108912.127672	109.186970
0.000	0.900	106187.223203	106.220295
0.000	0.950	103365.678990	103.447715
0.000	1.000	100885.540937	100.968343

0.050	0.000	178767.516617	180.728422
0.050	0.050	170187.421654	171.837493
0.050	0.100	163335.995487	164.740791
0.050	0.150	156021.003352	157.391939
0.050	0.200	150061.716989	150.972222
0.050	0.250	144181.130399	145.151378
0.050	0.300	139069.070185	139.785638
0.050	0.350	134418.687855	135.517796
0.050	0.400	129538.585966	130.038551
0.050	0.450	125368.241607	125.791096
0.050	0.500	121145.519530	121.581052
0.050	0.550	117540.983443	118.158137
0.050	0.600	114122.597222	114.355578
0.050	0.650	110522.736057	110.725591
0.050	0.700	107255.151991	107.578477
0.050	0.750	104473.184452	104.626705
0.050	0.800	101262.623860	101.454917
0.050	0.850	98521.544027	98.717633
0.050	0.900	95674.035441	95.822416
0.050	0.950	93263.330839	93.427876
0.050	1.000	91000.637494	91.092294

0.100	0.000	164166.671214	165.998460
0.100	0.050	156419.068075	158.104623
0.100	0.100	149256.700155	150.650833
0.100	0.150	143065.739892	144.230661
0.100	0.200	136854.845196	138.140683
0.100	0.250	132235.053641	133.256285
0.100	0.300	126937.699674	127.675537
0.100	0.350	122289.351531	123.030872
0.100	0.400	118319.747787	118.838844
0.100	0.450	114359.268521	114.756576
0.100	0.500	110481.618667	110.788388
0.100	0.550	106950.917320	107.375044
0.100	0.600	103517.332217	103.740031
0.100	0.650	100540.894871	100.790714
0.100	0.700	97525.221669	97.900066
0.100	0.750	94608.709378	95.017473
0.100	0.800	91830.895879	92.037984
0.100	0.850	89220.399966	89.458096
0.100	0.900	86721.849082	86.847635
0.100	0.950	84529.297456	84.665088
0.100	1.000	82420.990014	82.490130

0.150	0.000	151103.517740	153.101472
0.150	0.050	143755.129088	145.531980
0.150	0.100	137293.544434	138.793220
0.150	0.150	131252.513653	132.462280
0.150	0.200	126238.035409	127.423404
0.150	0.250	120921.692253	121.984652
0.150	0.300	116372.371287	117.406388
0.150	0.350	112261.967093	112.854126
0.150	0.400	108242.638080	108.878361
0.150	0.450	104514.313085	104.882279
0.150	0.500	101080.014231	101.482121
0.150	0.550	97695.437369	98.179569
0.150	0.600	94592.523221	95.055590
0.150	0.650	91703.529129	91.854451
0.150	0.700	88778.465586	89.022255
0.150	0.750	85970.268844	86.231155
0.150	0.800	83500.829754	83.824044
0.150	0.850	81196.202197	81.401473
0.150	0.900	78898.152790	78.952909
0.150	0.950	76578.711770	76.702885
0.150	1.000	74541.734543	74.668867

0.200	0.000	139743.209330	141.693181
0.200	0.050	132786.331674	134.667682
0.200	0.100	126721.098119	128.291608
0.200	0.150	121037.073760	122.251624
0.200	0.200	116159.093882	117.142501
0.200	0.250	111422.618161	112.596990
0.200	0.300	107039.528286	107.779965
0.200	0.350	103074.885469	103.852375
0.200	0.400	99235.683866	99.948605
0.200	0.450	95863.794830	96.544824
0.200	0.500	92393.699708	92.994830
0.200	0.550	89481.712569	89.794857
0.200	0.600	86422.259553	86.705074
0.200	0.650	83711.256808	84.020391
0.200	0.700	81087.909112	81.168451
0.200	0.750	78557.334798	78.858910
0.200	0.800	76197.745914	76.386513
0.200	0.850	73779.354703	73.841917
0.200	0.900	71710.833091	71.827111
0.200	0.950	69626.764024	69.807682
0.200	1.000	67624.260033	67.681279

0.250	0.000	129475.955176	131.365710
0.250	0.050	122976.347998	124.589429
0.250	0.100	117191.024170	118.820600
0.250	0.150	111949.284181	113.400261
0.250	0.200	107178.845212	108.140542
0.250	0.250	102833.281013	103.765827
0.250	0.300	98642.088511	99.356368
0.250	0.350	94789.356729	95.498265
0.250	0.400	91287.574592	91.898164
0.250	0.450	87958.129582	88.380238
0.250	0.500	85010.217330	85.265091
0.250	0.550	82051.282053	82.345881
0.250	0.600	79328.559525	79.718057
0.250	0.650	76646.392360	76.879092
0.250	0.700	74180.508100	74.340114
0.250	0.750	71710.701597	71.910363
0.250	0.800	69555.256752	69.758113
0.250	0.850	67317.387430	67.512273
0.250	0.900	65345.435773	65.424883
0.250	0.950	63438.961553	63.596417
0.250	1.000	61566.417064	61.708856

0.300	0.000	120452.879718	122.536030
0.300	0.050	114314.038761	115.949460
0.300	0.100	108577.041119	110.085058
0.300	0.150	103671.946371	105.010746
0.300	0.200	99277.274428	100.250343
0.300	0.250	94871.582295	95.686956
0.300	0.300	91083.589181	92.043643
0.300	0.350	87631.308963	88.209474
0.300	0.400	84247.483282	84.945426
0.300	0.450	81064.711313	81.657029
0.300	0.500	78094.358860	78.596492
0.300	0.550	75347.971608	75.653286
0.300	0.600	72632.711223	72.958389
0.300	0.650	70209.560755	70.568075
0.300	0.700	67982.702778	68.148219
0.300	0.750	65563.464499	65.679627
0.300	0.800	63511.587191	63.625342
0.300	0.850	61465.681386	61.550337
0.300	0.900	59534.277073	59.648290
0.300	0.950	57662.774587	57.779569
0.300	1.000	55913.359160	55.955865

0.350	0.000	112080.643049	114.094916
0.350	0.050	106250.760752	108.167035
0.350	0.100	100917.280528	102.253076
0.350	0.150	96324.600144	97.513359
0.350	0.200	91882.914835	92.974613
0.350	0.250	87876.873261	88.810172
0.350	0.300	84282.692320	85.214687
0.350	0.350	81072.168893	81.887598
0.350	0.400	77709.050872	78.275947
0.350	0.450	74868.994505	75.284470
0.350	0.500	71919.198574	72.361562
0.350	0.550	69255.779845	69.518886
0.350	0.600	66735.744472	67.050705
0.350	0.650	64432.947533	64.632556
0.350	0.700	62209.825842	62.432309
0.350	0.750	60062.796013	60.278416
0.350	0.800	58112.839877	58.134882
0.350	0.850	56126.510481	56.185762
0.350	0.900	54234.533909	54.356992
0.350	0.950	52461.278444	52.511259
0.350	1.000	50972.290054	51.018020

0.400	0.000	104593.558978	106.732656
0.400	0.050	99105.630424	101.025093
0.400	0.100	94077.955921	95.583424
0.400	0.150	89664.794181	91.085542
0.400	0.200	85298.897564	86.387205
0.400	0.250	81475.006229	82.440909
0.400	0.300	78237.637573	79.017737
0.400	0.350	74673.299660	75.354883
0.400	0.400	71768.208355	72.352515
0.400	0.450	68919.703519	69.436076
0.400	0.500	66277.328407	66.688984
0.400	0.550	63825.536047	64.194512
0.400	0.600	61502.506720	61.795100
0.400	0.650	59257.124590	59.490484
0.400	0.700	57020.798446	57.229040
0.400	0.750	55078.010896	55.231968
0.400	0.800	53061.286568	53.166816
0.400	0.850	51253.923582	51.315142
0.400	0.900	49433.190769	49.516426
0.400	0.950	47814.016674	47.767597
0.400	1.000	46196.903786	46.320414

0.450	0.000	97833.858845	100.081063
0.450	0.050	92629.112386	94.495259
0.450	0.100	87979.341728	89.727675
0.450	0.150	83374.656681	84.719740
0.450	0.200	79313.043535	80.306300
0.450	0.250	75687.377014	76.780787
0.450	0.300	72525.722939	73.303178
0.450	0.350	69338.662609	69.954134
0.450	0.400	66464.749409	67.006109
0.450	0.450	63650.302637	64.101412
0.450	0.500	61177.036460	61.651335
0.450	0.550	58821.297380	59.158508
0.450	0.600	56453.654484	56.817625
0.450	0.650	54350.922052	54.541594
0.450	0.700	52334.261554	52.546491
0.450	0.750	50334.569213	50.611382
0.450	0.800	48553.499394	48.708433
0.450	0.850	46771.299172	46.916557
0.450	0.900	45068.229181	45.091663
0.450	0.950	43542.191393	43.596187
0.450	1.000	42000.799351	42.136076

0.500	0.000	91596.861241	93.656791
0.500	0.050	86553.596180	88.452560
0.500	0.100	82007.768343	83.684653
0.500	0.150	77750.954976	79.133268
0.500	0.200	74020.480507	75.230331
0.500	0.250	70271.188319	71.272273
0.500	0.300	67234.864593	68.196847
0.500	0.350	64300.185945	65.028802
0.500	0.400	61501.349971	62.072721
0.500	0.450	58799.953577	59.277652
0.500	0.500	56523.983248	57.042225
0.500	0.550	54140.894984	54.468166
0.500	0.600	52037.927524	52.437412
0.500	0.650	50014.455104	50.266838
0.500	0.700	48031.901143	48.233132
0.500	0.750	46159.626392	46.267026
0.500	0.800	44395.325368	44.538278
0.500	0.850	42674.796566	42.760749
0.500	0.900	41073.565088	41.116911
0.500	0.950	39571.175933	39.703681
