#System variables:
#Boundary type: 1
#System Length: 10
#Detection Radius: 1
#Ensembles: 1000000

#rlp	p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.100	0.000	103.291674	0.104856	1.402147	0.001423
0.110	0.091	90.956473	0.092614	1.234701	0.001257
0.120	0.167	82.134220	0.083492	1.114942	0.001133
0.130	0.231	75.563990	0.076876	1.025754	0.001044
0.133	0.250	73.666789	0.074918	1.000000	0.001017
0.140	0.286	70.379858	0.071685	0.955381	0.000973
0.150	0.333	66.528338	0.067563	0.903098	0.000917
0.160	0.375	63.198014	0.064217	0.857890	0.000872
0.170	0.412	60.515915	0.061467	0.821482	0.000834
0.180	0.444	58.324464	0.059165	0.791733	0.000803
0.190	0.474	56.541357	0.057419	0.767528	0.000779
0.200	0.500	54.943718	0.055811	0.745841	0.000758
0.210	0.524	53.736862	0.054653	0.729458	0.000742
0.220	0.545	52.650610	0.053544	0.714713	0.000727
0.230	0.565	51.757981	0.052742	0.702596	0.000716
0.240	0.583	50.920799	0.051790	0.691231	0.000703
0.250	0.600	50.395698	0.051377	0.684103	0.000697
0.260	0.615	49.783417	0.050771	0.675792	0.000689
0.270	0.630	49.347294	0.050377	0.669872	0.000684
0.310	0.677	48.235807	0.049577	0.654784	0.000673
0.320	0.688	48.146163	0.049587	0.653567	0.000673
0.330	0.697	48.014944	0.049484	0.651785	0.000672
0.340	0.706	48.096872	0.049794	0.652898	0.000676
0.350	0.714	48.012462	0.049748	0.651752	0.000675
0.360	0.722	47.923583	0.049820	0.650545	0.000676
0.370	0.730	48.091441	0.049961	0.652824	0.000678
0.380	0.737	48.019175	0.050032	0.651843	0.000679
0.390	0.744	48.197589	0.050258	0.654265	0.000682
0.400	0.750	48.242637	0.050556	0.654876	0.000686
0.410	0.756	48.489045	0.050856	0.658221	0.000690
0.420	0.762	48.555803	0.051049	0.659127	0.000693
0.430	0.767	48.724947	0.051364	0.661424	0.000697
0.440	0.773	48.968001	0.051621	0.664723	0.000701
0.450	0.778	49.104849	0.051950	0.666581	0.000705
0.460	0.783	49.479476	0.052472	0.671666	0.000712
0.470	0.787	49.681372	0.052741	0.674407	0.000716
0.480	0.792	49.796961	0.052990	0.675976	0.000719
0.490	0.796	50.114467	0.053456	0.680286	0.000726
0.500	0.800	50.355095	0.053943	0.683552	0.000732
0.510	0.804	50.680967	0.054214	0.687976	0.000736
0.520	0.808	50.818935	0.054529	0.689849	0.000740
0.530	0.811	51.187521	0.055005	0.694852	0.000747
0.540	0.815	51.467261	0.055374	0.698649	0.000752
0.550	0.818	51.782897	0.055899	0.702934	0.000759
0.560	0.821	52.080734	0.056272	0.706977	0.000764
0.570	0.825	52.357450	0.056820	0.710733	0.000771
0.580	0.828	52.727305	0.057157	0.715754	0.000776
0.590	0.831	53.145462	0.057816	0.721430	0.000785
0.600	0.833	53.435413	0.058194	0.725366	0.000790
0.610	0.836	53.793934	0.058731	0.730233	0.000797
0.620	0.839	54.046361	0.059049	0.733660	0.000802
0.630	0.841	54.492849	0.059740	0.739721	0.000811
0.640	0.844	54.803515	0.060047	0.743938	0.000815
0.650	0.846	55.115796	0.060603	0.748177	0.000823
0.660	0.848	55.465040	0.061162	0.752918	0.000830
0.670	0.851	55.880332	0.061641	0.758555	0.000837
0.680	0.853	56.234693	0.062218	0.763366	0.000845
0.690	0.855	56.623549	0.062704	0.768644	0.000851
0.700	0.857	56.848512	0.062994	0.771698	0.000855
0.710	0.859	57.311369	0.063652	0.777981	0.000864
0.720	0.861	57.661526	0.064225	0.782734	0.000872
0.730	0.863	58.165073	0.064805	0.789570	0.000880
0.740	0.865	58.574578	0.065290	0.795129	0.000886
0.750	0.867	58.916282	0.065834	0.799767	0.000894
0.760	0.868	59.298061	0.066522	0.804950	0.000903
0.770	0.870	59.672362	0.067009	0.810031	0.000910
0.780	0.872	60.044595	0.067554	0.815084	0.000917
0.790	0.873	60.421018	0.067935	0.820193	0.000922
0.800	0.875	60.970998	0.068668	0.827659	0.000932
0.810	0.877	61.273671	0.069134	0.831768	0.000938
0.820	0.878	61.665920	0.069732	0.837093	0.000947
0.830	0.880	62.201746	0.070312	0.844366	0.000954
0.840	0.881	62.539327	0.070845	0.848949	0.000962
0.850	0.882	62.930090	0.071430	0.854253	0.000970
0.860	0.884	63.376826	0.071961	0.860317	0.000977
0.870	0.885	63.690555	0.072313	0.864576	0.000982
0.880	0.886	64.125303	0.073000	0.870478	0.000991
0.890	0.888	64.701022	0.073652	0.878293	0.001000
0.900	0.889	65.168107	0.074277	0.884633	0.001008
0.910	0.890	65.501821	0.074976	0.889164	0.001018
0.920	0.891	65.878603	0.075365	0.894278	0.001023
0.930	0.892	66.188024	0.075749	0.898478	0.001028
0.940	0.894	66.754617	0.076553	0.906170	0.001039
0.950	0.895	67.086930	0.076993	0.910681	0.001045
0.960	0.896	67.640363	0.077935	0.918193	0.001058
0.970	0.897	68.061689	0.078299	0.923913	0.001063
0.980	0.898	68.360004	0.078672	0.927962	0.001068
0.990	0.899	68.820103	0.079236	0.934208	0.001076
1.000	0.900	69.303521	0.079849	0.940770	0.001084
