#System variables:
#Boundary type: 2	Alpha = 0.500000
#System Length: 200
#Detection Radius: 1
#Fixed steps: 1000000000

#p	Wall-Frequency	rel.-WF
0.050000	4999946	0.005000
0.150000	4993988	0.004994
0.000000	5003463	0.005003
0.100000	4964715	0.004965
0.550000	4999924	0.005000
0.450000	5006931	0.005007
0.400000	4970430	0.004970
0.500000	4998467	0.004998
0.350000	5001150	0.005001
0.300000	4990776	0.004991
0.250000	5029018	0.005029
0.200000	4981161	0.004981
0.700000	4995090	0.004995
0.710000	4987157	0.004987
0.650000	5010732	0.005011
0.600000	5006769	0.005007
0.730000	4987614	0.004988
0.720000	5001566	0.005002
0.760000	5004015	0.005004
0.740000	4997719	0.004998
0.770000	4995892	0.004996
0.750000	4994521	0.004995
0.800000	4995961	0.004996
0.790000	5009423	0.005009
0.830000	4999211	0.004999
0.780000	5005787	0.005006
0.810000	5000296	0.005000
0.820000	4994743	0.004995
0.850000	4997597	0.004998
0.840000	4983878	0.004984
0.880000	5006090	0.005006
0.870000	4998765	0.004999
0.860000	4996226	0.004996
0.890000	5005082	0.005005
0.910000	4998915	0.004999
0.940000	5003319	0.005003
0.930000	4995404	0.004995
0.900000	5002138	0.005002
0.920000	5003555	0.005004
0.950000	5005239	0.005005
0.990000	4999836	0.005000
0.970000	5000770	0.005001
0.960000	5001890	0.005002
0.980000	5001191	0.005001
