#System variables:
#Boundary type: 2	Alpha = 1.000000
#System Length: 200
#Detection Radius: 1
#Fixed steps: 1000000000

#p	Wall-Frequency	rel.-WF
0.000000	5002134	0.005002
0.050000	5046739	0.005047
0.100000	5032274	0.005032
0.150000	5035216	0.005035
0.200000	5018888	0.005019
0.350000	5058976	0.005059
0.300000	5045272	0.005045
0.250000	5043033	0.005043
0.550000	5048444	0.005048
0.500000	5030008	0.005030
0.450000	5009007	0.005009
0.400000	5000794	0.005001
0.650000	5020099	0.005020
0.600000	5045550	0.005046
0.750000	5007710	0.005008
0.740000	5016216	0.005016
0.730000	5018806	0.005019
0.720000	5022063	0.005022
0.700000	5024465	0.005024
0.710000	5037618	0.005038
0.770000	5031442	0.005031
0.760000	5025486	0.005025
0.790000	5022498	0.005022
0.780000	5032376	0.005032
0.800000	5018880	0.005019
0.820000	5029677	0.005030
0.810000	5020958	0.005021
0.870000	5019666	0.005020
0.880000	5029136	0.005029
0.830000	5021939	0.005022
0.850000	5022664	0.005023
0.840000	5029376	0.005029
0.910000	5030302	0.005030
0.920000	5021592	0.005022
0.900000	5030897	0.005031
0.860000	5014268	0.005014
0.890000	5028871	0.005029
0.930000	5022791	0.005023
0.940000	5028624	0.005029
0.950000	5024135	0.005024
0.970000	5025260	0.005025
0.990000	5026911	0.005027
0.960000	5026829	0.005027
0.980000	5025354	0.005025
